document,word,frequency
all,o l e x,78
all,l e x t,202
all,e x t e,1171
all,x t e n,958
all,t e n d,793
all,e n d p,258
all,n d p r,352
all,d p r e,398
all,p r e v,911
all,r e v i,885
all,e v i o,610
all,v i o u,763
all,i o u c,114
all,o u c o,67
all,u c o n,238
all,r o l h,56
all,o l h i,30
all,l h i e,26
all,c h i d,53
all,h i d e,239
all,i d e s,484
all,d e s i,4273
all,e s i g,4093
all,s i g n,7184
all,i g n w,50
all,g n w o,10
all,n w o r,113
all,w o r k,7231
all,o r k n,181
all,r k n o,165
all,k n o r,15
all,n o r m,650
all,r m a l,989
all,m a l c,69
all,a l c o,617
all,l c o n,1153
all,d i t o,96
all,i t o p,140
all,t o p e,548
all,o p e r,3336
all,p e r f,4970
all,e r f a,1687
all,r f a u,2975
all,u l t c,1971
all,l t c l,192
all,t c l a,487
all,c l a s,1904
all,l a s s,2101
all,a s s i,2040
all,s s i f,1243
all,s i f i,616
all,i f i a,171
all,f i a c,39
all,i a c c,321
all,r d c a,28
all,d c a p,86
all,c a p a,1257
all,a p a b,888
all,p a b l,894
all,a b l r,390
all,b l r e,413
all,l r e m,78
all,r e m a,319
all,e m a i,438
all,m a i n,2340
all,a i n v,143
all,i n v e,1442
all,n v e h,19
all,v e h i,464
all,e h i c,440
all,h i c l,448
all,i c l r,32
all,c l r o,3
all,l r o a,6
all,r o a d,279
all,o a d s,102
all,a d s i,92
all,d s i d,47
all,s i d f,110
all,i d f a,387
all,d f a u,1356
all,u l t h,449
all,l t h a,154
all,t h a o,14
all,h a o c,17
all,a o c c,20
all,o c c u,887
all,c c u r,2892
all,c u r i,79
all,u r i n,443
all,r i n f,279
all,i n f o,1799
all,n f o r,1982
all,o r m c,804
all,r m c a,88
all,m c a p,121
all,a b l u,159
all,b l u s,152
all,l u s e,1190
all,u s e s,1218
all,s e s u,162
all,e s u p,152
all,s u p e,525
all,u p e r,658
all,p e r v,293
all,e r v i,1883
all,r v i s,234
all,v i s o,94
all,i s o r,94
all,s o r l,102
all,o r l a,91
all,r l a y,154
all,l a y e,651
all,a y e r,619
all,y e r h,21
all,e r h i,177
all,r h i e,28
all,c h i s,20
all,h i s e,57
all,i s e l,110
all,s e l e,1163
all,e l e c,2694
all,l e c t,3373
all,e c t a,1765
all,c t a p,333
all,t a p p,1776
all,a p p r,4534
all,p p r o,4907
all,r o p r,569
all,o p r i,310
all,p r i f,19
all,r i f a,330
all,i f a u,1467
all,t h a n,223
all,h a n d,857
all,a n d l,545
all,n d l s,60
all,d l s t,14
all,l s t r,362
all,s t r a,2255
all,t r a t,1277
all,r a t e,2319
all,a t e g,1038
all,t e g i,863
all,e g i o,465
all,g i o u,4
all,i o u t,210
all,o u t l,155
all,u t l i,182
all,t l i n,517
all,l i n s,357
all,i n s t,1369
all,n s t r,3514
all,e g i n,81
all,g i n e,76
all,i n e e,143
all,n e e d,949
all,e e d s,155
all,e d s u,14
all,d s u p,97
all,s o r g,33
all,o r g i,40
all,r g i v,159
all,g i v e,1049
all,i v e e,54
all,v e e x,42
all,e e x a,82
all,e x a m,978
all,x a m p,661
all,a m p l,1617
all,m p l d,134
all,p l d e,109
all,l d e t,412
all,d e t a,508
all,e t a i,528
all,t a i l,557
all,a i l o,122
all,i l o p,33
all,l o p e,534
all,l e r m,623
all,e r m e,874
all,r m e m,125
all,m e m o,869
all,e m o r,901
all,m o r i,804
all,o r i d,221
all,r i d e,712
all,i g n h,90
all,g n h w,1
all,n h w /,2
all,h w / s,18
all,w / s w,18
all,/ s w c,6
all,s w c o,8
all,w c o -,9
all,c o - r,10
all,o - r e,40
all,- r e l,170
all,r e l i,2820
all,e l i m,604
all,l i m a,242
all,i m a s,40
all,m a s s,262
all,s s i v,143
all,s i v p,20
all,i v p a,57
all,v p a r,67
all,p a r a,2276
all,a r a l,694
all,r a l l,737
all,a l l e,1373
all,l l e l,603
all,l e l c,83
all,e l c o,823
all,l c o m,1126
all,o m p u,2699
all,m p u t,2722
all,p u t s,734
all,u t s y,666
all,t s y s,2677
all,i g h l,591
all,g h l i,485
all,h l i d,62
all,l i d e,797
all,i d e p,185
all,d e p e,1542
all,e p e n,1528
all,p e n d,1641
all,e n d e,427
all,n d e m,91
all,d e m b,33
all,e m b e,880
all,m b e d,659
all,b e d f,21
all,e d f a,117
all,u l t -,3016
all,l t - t,2288
all,t - t o,2305
all,- t o l,2310
all,o r i a,226
all,r i a r,95
all,i a r c,143
all,t u r h,180
all,u r h i,112
all,r h i g,431
all,i g h p,275
all,g h p e,160
all,h p e r,216
all,e r f o,4553
all,r f o r,4517
all,o r m m,539
all,r m m a,152
all,m m a s,38
all,p u t a,221
all,u t a p,155
all,a p p l,5470
all,p p l i,5744
all,p l i c,5224
all,l i c d,356
all,i c d e,540
all,c d e p,81
all,e n d a,283
all,n d a s,46
all,d a s s,112
all,a s s u,687
all,s s u r,336
all,s u r t,209
all,u r t e,198
all,i q u p,367
all,q u p r,309
all,u p r o,487
all,p o s d,312
all,o s d i,80
all,s d i s,280
all,d i s c,1792
all,i s c u,940
all,s c u s,952
all,c u s s,980
all,u s s t,137
all,s s t h,353
all,s t h i,803
all,t h i p,6637
all,h i p a,6182
all,i p a p,6103
all,p a p e,6838
all,a p e r,7088
all,p e r p,2708
all,e r p r,3751
all,r p r o,4068
all,p o s f,434
all,o s f a,345
all,s f a u,1234
all,o r i p,217
all,r i p r,494
all,i p r o,1979
all,p r o v,5329
all,r o v i,2473
all,o v i d,2389
all,v i d t,149
all,i d t w,28
all,d t w o,113
all,t w o d,205
all,w o d i,155
all,o d i s,122
all,i s t i,443
all,s t i n,738
all,t i n c,695
all,i n c t,136
all,n c t r,95
all,c t r e,1624
all,t r e p,528
all,r e p a,337
all,e p a i,279
all,p a i r,444
all,a i r m,35
all,i r m e,90
all,r m e c,313
all,m e c h,1403
all,e c h a,1824
all,c h a n,3536
all,h a n p,113
all,a n p e,43
all,n p e r,284
all,p e r m,742
all,e r m a,1199
all,r m a n,819
all,m a n l,25
all,a n l a,31
all,n l a s,21
all,l a s e,151
all,a s e r,659
all,s e r r,597
all,e r r e,1650
all,r r e d,423
all,e d u n,997
all,d u n d,1027
all,u n d r,203
all,n d r e,398
all,d r e c,226
all,e c o n,2969
all,c o n f,1663
all,o n f i,1600
all,n f i g,1139
all,f i g u,1184
all,i g u r,1186
all,g u r d,64
all,u r d u,143
all,r d u r,181
all,u r e w,12
all,r e w a,64
all,e w a f,19
all,w a f e,138
all,a f e r,153
all,f e r p,319
all,p r o b,3176
all,r o b e,204
all,o b e s,28
all,b e s t,339
all,e s t a,1342
all,s t a g,382
all,t a g e,602
all,a g e f,82
all,g e f a,24
all,e f a c,123
all,a c t o,1063
all,c t o r,2676
all,t o r i,1194
all,o r i e,391
all,r i e n,354
all,i e n h,62
all,e n h a,666
all,n h a n,680
all,h a n c,753
all,a n c m,135
all,n c m a,124
all,c m a n,179
all,m a n u,493
all,a n u f,338
all,n u f a,344
all,u f a c,360
all,a c t u,998
all,t u r y,10
all,u r y i,13
all,r y i e,38
all,y i e l,325
all,i e l d,1222
all,e l d d,129
all,l d d y,7
all,d d y n,61
all,d y n a,1383
all,y n a m,1385
all,n a m b,93
all,a m b i,108
all,m b i s,5
all,b i s t,109
all,i s t /,2
all,s t / b,1
all,t / b i,1
all,/ b i s,2
all,b i s d,2
all,i s d /,1
all,s d / b,1
all,d / b i,1
all,b i s r,4
all,i s r b,1
all,s r b u,1
all,r b u i,72
all,b u i l,715
all,u i l t,352
all,i l t -,92
all,l t - i,173
all,t - i n,208
all,- i n -,63
all,i n - s,45
all,n - s e,34
all,- s e l,39
all,s e l f,545
all,e l f -,468
all,l f - t,76
all,f - t e,71
all,- t e s,116
all,t e s t,5453
all,e s t -,121
all,s t - d,26
all,t - d i,45
all,- d i a,50
all,d i a g,4206
all,i a g n,4101
all,a g n o,4138
all,g n o s,4185
all,n o s i,2977
all,o s i s,543
all,s i s -,20
all,i s - r,2
all,s - r e,8
all,- r e p,54
all,a i r -,37
all,i r - b,4
all,r - b a,213
all,b a s e,6026
all,e r e c,333
all,g u r r,57
all,d r e s,1045
all,r e s o,1493
all,e s o u,733
all,u r c f,81
all,r c f i,18
all,c f i e,37
all,f i e l,867
all,e l d m,81
all,l d m a,47
all,d m a i,72
all,a i n t,1940
all,i n t a,569
all,n t a i,754
all,t a i n,2774
all,a i n h,128
all,i n h i,122
all,n h i g,201
all,i g h f,199
all,g h f i,14
all,h f i e,19
all,e l d r,74
all,l d r e,131
all,d r e l,254
all,e l i a,2270
all,l i a b,2241
all,i a b l,2733
all,a b l s,685
all,b l s y,131
all,l s y s,1141
all,t e m r,742
all,e m r e,711
all,m r e l,361
all,a b l m,472
all,b l m a,145
all,l m a i,123
all,a i n l,370
all,i n l i,315
all,n l i d,117
all,i d e t,411
all,d e t e,6951
all,e t e r,1482
all,t e r m,2367
all,e r m i,1684
all,r m i n,1676
all,m i n h,44
all,i n h a,91
all,n h a r,131
all,h a r d,1821
all,a r d w,1474
all,r d w a,1445
all,d w a r,1427
all,w a r c,441
all,a r c o,726
all,u r d e,698
all,r d e m,158
all,d e m a,336
all,e m a n,656
all,m a n d,390
all,a n d s,205
all,n d s o,99
all,d s o f,263
all,s o f t,5431
all,o f t w,4507
all,f t w a,4509
all,t w a r,4544
all,w a r f,699
all,a r f i,127
all,r f i e,151
all,g u r a,103
all,u r a t,147
all,r a t i,461
all,a t i o,1437
all,i o n /,61
all,o n / r,11
all,n / r e,10
all,/ r e p,8
all,a i r u,10
all,i r u t,3
all,r u t i,97
all,u t i l,680
all,t i l u,11
all,i l u n,19
all,l u n u,12
all,u n u s,61
all,n u s p,9
all,u s p r,144
all,s p r o,926
all,o c e s,4513
all,c e s s,5782
all,e s s o,1600
all,s s o r,1428
all,s o r m,185
all,o r m e,1009
all,o r i m,423
all,r i m o,192
all,i m o d,721
all,m o d u,1197
all,o d u l,1194
all,d u l r,99
all,u l r e,857
all,l r e f,106
all,r e f e,579
all,e f e r,584
all,f e r h,52
all,e r h w,2
all,r h w /,3
all,e l i v,220
all,l i v a,64
all,i v a r,245
all,v a r i,2482
all,a r i o,1159
all,r i o u,948
all,i o u s,398
all,o u s y,27
all,u s y s,132
all,t e m c,1037
all,e m c o,793
all,m c o n,952
all,g u r o,24
all,u r o p,121
all,r o p t,195
all,p t i o,129
all,o n t e,805
all,n t e r,4336
all,e r m p,99
all,r m p a,85
all,m p a r,2391
all,l e l p,72
all,e l p r,622
all,l p r o,1860
all,e s s u,274
all,s s u n,121
all,s u n i,82
all,u n i t,578
all,n i t s,178
all,i t s i,332
all,t s i z,138
all,s i z e,697
all,i z e p,38
all,z e p r,13
all,e p r o,1521
all,s o r /,9
all,o r / m,2
all,r / m e,1
all,/ m e m,1
all,o r i i,100
all,r i i n,314
all,i i n t,466
all,i n t e,6308
all,n t e n,1481
all,t e n s,799
all,e n s a,192
all,n s a l,44
all,s a l s,73
all,a l s o,2348
all,l s o i,211
all,s o i n,142
all,o i n t,1659
all,d u c h,102
all,u c h w,8
all,c h w /,2
all,e l i c,73
all,l i c h,198
all,i c h a,427
all,c h a r,1786
all,h a r a,1360
all,a r a c,1443
all,r a c t,3935
all,a c t e,1477
all,c t e r,1808
all,t e r i,1774
all,e r i s,1570
all,r i s t,1256
all,i s t d,300
all,s t d i,253
all,t d i s,1081
all,u s s m,52
all,s s m o,212
all,s m o d,419
all,m o d e,7561
all,o d e l,6717
all,d e l a,1170
all,e l a s,123
all,i q u h,118
all,q u h w,1
all,u h w /,2
all,e l i e,135
all,l i e m,33
all,i e m p,77
all,e m p h,130
all,m p h a,175
all,p h a s,1840
all,h a s i,196
all,a s i d,50
all,s i d e,931
all,i q u b,190
all,q u b a,149
all,u b a s,181
all,a s e c,684
all,s e c o,1534
all,c o m b,1292
all,o m b i,1254
all,m b i n,1276
all,b i n a,422
all,i n a t,151
all,n a t o,107
all,a t o r,763
all,d e l s,585
all,e l s u,95
all,l s u i,61
all,s u i t,647
all,u i t a,528
all,i t a b,421
all,t a b l,1377
all,a b l p,461
all,b l p r,370
all,p o s m,1003
all,o s m e,754
all,s m e m,62
all,i g n d,263
all,g n d e,169
all,n d e v,319
all,l o p v,52
all,o p v a,23
all,p v a l,21
all,v a l i,1005
all,a l i d,1032
all,i d e x,141
all,d e x t,119
all,e n s p,212
all,n s p a,365
all,s p a r,509
all,a r a m,1328
all,r a m e,2825
all,a m e t,1454
all,e t r s,82
all,t r s i,68
all,r s i m,580
all,s i m u,3878
all,i m u l,4092
all,m u l t,3662
all,l t h e,161
all,t h e r,2137
all,h e r e,936
all,e b i d,16
all,b i d e,29
all,i g n i,1367
all,g n i m,185
all,n i m p,584
all,i m p l,3607
all,m p l e,4555
all,p l e m,2549
all,l e m e,3204
all,e m e n,3780
all,e n t m,1107
all,n t m e,501
all,t m e m,144
all,m o r y,20
all,o r y -,42
all,r y - r,8
all,y - r e,36
all,i a b i,68
all,a b i l,859
all,b i l i,291
all,i l i t,371
all,l i t y,83
all,i t y -,140
all,t y - o,19
all,y - o p,3
all,- o p t,62
all,p t i m,1630
all,t i m h,69
all,i m h i,20
all,h l i r,59
all,l i r e,513
all,i r e l,1115
all,a b l f,439
all,b l f a,395
all,l e r f,322
all,e r f i,312
all,g u r m,112
all,u r m a,297
all,r m a s,88
all,t e m a,1379
all,e m a c,258
all,m a c h,1386
all,a c h i,2769
all,c h i e,1212
all,h i e v,1208
all,e f f i,1985
all,f f i c,2821
all,f i c i,2654
all,i c i c,214
all,c i c o,277
all,i c o l,61
all,c o l o,379
all,o l o r,312
all,l o r c,98
all,o r c o,2530
all,r c o r,1575
all,p r o a,3919
all,r o a c,3921
all,o a c h,3861
all,a c h p,354
all,c h p h,9
all,h p h a,15
all,h a s e,1223
all,a s e u,180
all,s e u n,106
all,e u n w,11
all,u n w r,12
all,n w r a,16
all,w r a p,49
all,r a p b,2
all,a p b a,24
all,p b a s,112
all,e c o l,86
all,l o r -,17
all,o r - e,17
all,r - e n,15
all,- e n c,20
all,e n c o,856
all,n c o d,473
all,c o d d,73
all,o d d i,151
all,d d i g,38
all,d i g i,913
all,i g i t,910
all,g i t f,89
all,i t f r,36
all,t f r i,6
all,f r i n,22
all,r i n g,270
all,i n g p,41
all,n g p r,106
all,g p r o,696
all,p r o j,737
all,r o j e,737
all,o j e c,737
all,j e c t,3356
all,e c t h,453
all,c t h i,676
all,t h i g,599
all,h l i e,28
all,l i e f,110
all,i e f f,469
all,a c h b,215
all,c h b a,173
all,h b a s,213
all,c o d f,41
all,o d f r,31
all,d f r i,4
all,c t p r,1566
all,t p r o,4385
all,s c o m,680
all,b i n c,121
all,i n c o,1374
all,n c o l,71
all,l o r i,96
all,r i m a,868
all,g s e g,15
all,s e g m,243
all,e g m e,238
all,g m e n,365
all,t c o l,171
all,o r i n,732
all,r i n t,1202
all,n s i n,239
all,s i n t,386
all,t e r p,852
all,e r p o,521
all,r p o l,287
all,p o l t,13
all,o l t e,92
all,l t e c,455
all,i q u o,107
all,q u o n,32
all,u o n l,25
all,o n l i,2069
all,i g n c,333
all,g n c o,228
all,l o r p,53
all,o r p a,210
all,r p a t,182
all,p a t t,931
all,a t t e,2134
all,t t e r,2252
all,t e r n,2013
all,e r n p,148
all,r n p r,106
all,e c t r,3673
all,t r e c,1091
all,e c o r,723
all,o r d i,836
all,r d i m,91
all,d i m p,426
all,e n t p,1240
all,n t p r,765
all,e s s h,131
all,s s h i,67
all,s h i g,137
all,i g h b,212
all,g h b r,3
all,h b r i,13
all,b r i g,50
all,r i g h,124
all,i g h t,1669
all,g h t d,80
all,h t d l,1
all,t d l p,1
all,d l p p,1
all,l p p r,39
all,e c t o,1926
all,t o r c,749
all,r c o l,73
all,o r c a,277
all,r c a m,43
all,c a m e,279
all,a m e r,399
all,m e r a,327
all,e r a e,15
all,r a e s,6
all,a e s t,72
all,s t a b,909
all,a b l i,708
all,b l i s,458
all,l i s h,570
all,i s h c,60
all,s h c o,52
all,h c o r,83
all,r r e s,1836
all,p o n d,543
all,o n d d,55
all,n d d e,320
all,d d e s,239
all,e n s r,117
all,n s r e,100
all,s r e c,184
all,r d c o,212
all,d c o l,52
all,d i m a,148
all,m a g f,72
all,a g f i,52
all,g f i r,41
all,f i r s,1130
all,i r s t,1263
all,r s t l,179
all,s t l i,356
all,t l i s,153
all,l i s e,159
all,i s e g,14
all,e n t a,1563
all,n t a d,138
all,t a d j,39
all,a d j a,69
all,d j a c,68
all,j a c g,5
all,a c g r,9
all,c g r i,43
all,g r i d,812
all,r i d r,61
all,i d r e,361
all,d r e g,63
all,r e g i,849
all,g i o n,448
all,i o n n,138
all,o n n e,1092
all,n n e i,7
all,n e i g,187
all,e i g h,783
all,g h b o,182
all,h b o r,171
all,b o r p,28
all,o r p i,44
all,r p i x,59
all,p i x e,386
all,i x e l,389
all,x e l i,21
all,e l i n,875
all,l i n t,685
all,e n s f,120
all,n s f i,45
all,s f i t,35
all,f i t e,76
all,i t e r,1322
all,t e r r,3074
all,e r r o,10854
all,r r o r,10527
all,r o r g,125
all,o r g r,60
all,r g r i,149
all,i o n g,95
all,o n g r,139
all,n g r o,112
all,g r o w,273
all,r o w n,22
all,o w n r,58
all,w n r e,48
all,n r e g,112
all,i o n b,160
all,o n b o,74
all,n b o u,45
all,b o u n,540
all,o u n d,2321
all,u n d a,587
all,n d a r,1054
all,d a r i,261
all,a r i e,341
all,r i e m,27
all,e m p l,709
all,m p l o,609
all,p l o y,846
all,l o y p,65
all,o y p r,27
all,y p r o,183
all,e s s a,1293
all,s s a l,128
all,s a l g,412
all,a l g o,4319
all,l g o r,4306
all,g o r i,4419
all,o r i t,4680
all,r i t h,4598
all,i t h m,4417
all,t h m t,248
all,h m t h,103
all,t h i r,410
all,h i r d,124
all,i r d l,15
all,r d l i,55
all,d l i r,17
all,i r e g,125
all,o n n u,19
all,n n u m,90
all,n u m b,1434
all,u m b e,1442
all,m b e r,1559
all,b e r l,51
all,e r l a,338
all,r l a b,22
all,l a b e,100
all,a b e l,84
all,b e l a,9
all,e l a d,70
all,l a d j,24
all,a d j u,226
all,d j u s,225
all,j u s t,269
all,u s t b,26
all,s t b a,97
all,t b a s,971
all,a s e d,508
all,s e d e,594
all,e d e s,319
all,e r n s,283
all,r n s e,61
all,n s e a,24
all,s e a r,1494
all,e a r c,1520
all,r c h r,87
all,c h r e,352
all,h r e g,24
all,o n c e,1590
all,n c e n,212
all,c e n t,1391
all,e n t r,2464
all,n t r c,34
all,t r c o,203
all,r c o o,58
all,c o o r,300
all,o o r d,317
all,r d i n,492
all,d i n a,70
all,i n a p,189
all,n a p p,588
all,p l i m,180
all,i m a n,193
all,m a n -,41
all,a n - m,7
all,n - m a,65
all,- m a c,23
all,c h i n,1606
all,h i n c,219
all,n c o n,1187
all,c o n v,1673
all,o n v e,1719
all,n v e r,1431
all,e r s m,84
all,r s m e,13
all,s m e t,1000
all,h o d f,350
